id,type_key,is_default,name_he,מחיר ליחידה (₪),משקל למטר/יחידה,פחת,type,product_type
054b54a5-f7c6-4a7d-b3b6-50245d52b6ee,sharp_screw_3_5cm,FALSE,בורג שפיץ עם אטם 3.5סמ,0.32,,,ברגים,material
06f9e067-3a29-47e1-a800-28785f82ab80,hook_5cm_with_3_holes_gallery,FALSE,"הוק 5 ס""מ עם 3 חורים (גלריה)",20,,,אביזרי עיגון,material
0791b274-3855-4af8-a034-4fad3b0d41c8,flange_nut_m8_stainless_steel,FALSE,אום פלאנצ' M8,0.48,,,ברגים,material
1b84faa7-8a85-40e5-a124-bff52bd76d56,hooks,TRUE,"הוק 5.5 ס""מ",20,,,אביזרי עיגון,material
1e6e16d4-7b7a-43d8-96fb-190973940eb7,meter_box_25a,FALSE,Meter Box 25A ארון מונה,0,,,חשמל - ארונות,material
1f18123d-6e14-461a-a967-fac8a9962bea,self_drilling_screw_3_5_drill_1_4_1_4_1_with_seal,FALSE,בורג איסכורית קודח 3.5 (עם אטם),0.32,,,ברגים,material
1f8de1fa-54c1-4863-92e9-7e8177ede6b7,arrow_anchor_bolt_kit,FALSE,קיט בורג עוגן חץ,4,,,ברגים,material
223f004a-8e3e-4c17-8ebe-7f9ac60d5f52,collection_panel_for_two_50kw_inverters_incl_depreciation_relay,FALSE,לוח איסוף לשני ממירי 50 כולל ממסר פחת,2300,,,חשמל - ארונות,material
24016696-1f40-4fe6-b2cc-6dc1630ffbc6,flexible_conduit_21,FALSE,צינור שרשורי 21,0,,,חשמל - שחור,material
2875abaf-eff7-4f98-9fbb-5012a386caed,flexible_conduit_30m_bundle_diameter_18mm_pg16,FALSE,צינור שרשורי 30מ בחבילה קוטר 18ממ PG16,0,,,חשמל - שחור,material
3147612e-e5e3-4fa3-946f-3dfcfec32f19,circuit_breaker_4x40a,FALSE,מפסק 4X40A,200,,,חשמל - ארונות,material
3539ffb1-b078-45a1-a3a6-db87d0c89be4,bitumen_sheets,FALSE,יריעת זפת,5.7,,,אביזרי עיגון,material
368f2e18-3cfd-4e94-b1cc-2be495b1de47,electrical_cable_4x10,FALSE,כבל חשמל 4X10,0,,,חשמל - שחור,material
38ef1be2-2dca-43cb-8a96-ee33c30d9a3b,rail_40x40,FALSE,קושרות 40*40,16.5,0.9,4,אלומיניום,material
392975de-8b12-4d05-8d94-3109f840a487,panel_cable_clip_for_rail,FALSE,תפסן כבל לקושרת,1.3,,,אביזרי עזר,material
