Type,P.N.,Name,Name_HE,active,extra,Alt,Alt Group
angle_profile_40x40,,Angle Profile 40X40 mm,פרופיל זוית 40*40,1,0,,
rail_40x40,,Rail Clamps 40X40 mm,קושרות 40*40,1,0,,
block_50x24x15,,Block (50*24*15),"אבן מעבר 42 ק""ג (50*24*15)",1,0,,
bitumen_sheets,,Bitumen Sheets,יריעת זפת,1,0,,
jumbo_5x16,,Jumbo 5*16,בורג ג'מבו (16*5),1,10%,single_arrow_anchor_bolt,1
end_panel_clamp,,End Panel Clamp,מהדק פאנל קצה,1,10%,,
rail_end_cap,,Rail End Cap,פקק קושרת 40*40,1,10%,,
mid_panel_clamp,,Mid Panel Clamp,מהדק פאנל אמצע,1,10%,,
grounding_panel_clamp,,Grounding Panel Clamp,מהדק פאנל הארקה,1,10%,,
rail_connector,,Rail Connector,מחבר קושרת 40*40,1,10%,,
hex_head_bolt_m8x20,,Hex Head Bolt M8*20,בורג ראש משושה M8*20,1,10%,,
flange_nut_m8_stainless_steel,,Flange Nut M8 Stainless Steel,אום פלאנצ' M8,1,10%,,
torx_sharp_screw_for_wood_roof_7_5cm_3,,"Torx Sharp Screw for Wood Roof 7.5cm (3"")",בורג שפיץ עם אטם 7.5סמ,,,,
torx_sharp_screw_for_wood_roof_10cm,,Torx Sharp Screw for Wood Roof 10cm,בורג טורקס שפיץ לגג עץ 10סמ,,,,
torx_sharp_screw_for_wood_roof_12_5cm_5,,"Torx Sharp Screw for Wood Roof 12.5cm (5"")",בורג טורקס שפיץ לגג עץ 12סמ,,,,
sandwich_panel_accessory_screws_not_included,,Sandwich Panel Accessory (screws not included),אביזר סנטף (לא כולל ברגים),,,,
circuit_breaker_100a,,Circuit Breaker 100A,Circuit Breaker 100A,,,,
collection_panel_for_two_50kw_inverters_incl_depreciation_relay,,Collection Panel for Two 50kW Inverters incl. Depreciation Relay,לוח איסוף לשני ממירי 50 כולל ממסר פחת,,,,
angle_connector_10cm,,Angle Connector 10cm,מחבר זווית 10ס''מ,,,,
single_arrow_anchor_bolt,,Single Arrow Anchor Bolt,בורג עוגן חץ,1,10%,jumbo_5x16,1
m12_nut_for_arrow_anchor,,M12 Nut for Arrow Anchor,אום M12 לעוגן חץ,,,,
m12_washer_for_arrow_anchor,,M12 Washer for Arrow Anchor,דסקית M12 לעוגן חץ,,,,
self_drilling_screw_3_5_drill_1_4_1_4_1_with_seal,,Self-drilling Screw 3.5 (drill 1/4-1/4 * 1 with seal),בורג איסכורית קודח 3.5 (עם אטם),,,,
self_drilling_screw_7_5_drill_1_4_1_4_1_with_seal,,Self-drilling Screw 7.5 (drill 1/4-1/4 * 1 with seal),בורג איסכורית קודח 7.5 ( עם אטם),,,,
self_drilling_screw_12_5_5_drill_with_seal,,"Self-drilling Screw 12.5 (5"" drill with seal)",בורג איסכורית 12.5 ( 5צול קודח עם אטם),,,,
epdm,,EPDM,גומי EPDM 40*40,,,,
hooks,,Hooks,"הוק 5.5 ס""מ",,,,
hook_5cm_with_3_holes_gallery,,Hook 5cm with 3 holes (Gallery),"הוק 5 ס""מ עם 3 חורים (גלריה)",,,,
connection_angle_10cm_for_base,,Connection Angle 10cm for Base,"זוית חיבור 10 ס""מ לבסיס",,,,
end_grounding_panel_clamp_rapid,,End Grounding Panel Clamp Rapid,מהדק פאנל קצה הארקה Rapid,,,,
mid_grounding_panel_clamp_without_screw,,Mid Grounding Panel Clamp without Screw,מהדק פאנל אמצע הארקה ללא בורג,,,,
end_grounding_panel_clamp_without_screw,,End Grounding Panel Clamp without Screw,מהדק פאנל קצה הארקה ללא בורג,,,,
cable_6mm_red,,Cable 6mm Red,כבל 6 ממ אדום,,,,
cable_6mm_black,,Cable 6mm Black,כבל 6 ממ שחור,,,,
bare_copper_16mm,,Bare Copper 16mm,נחושת חשופה 16 ממ,,,,
junction_box_2_strings,,Junction Box 2 Strings,ארון איסוף 2 סטרינגים,,,,
ac_panel_25a,,AC Panel 25A,ארון AC 25A,,,,
ac_panel_40a,,AC Panel 40A,ארון AC 40A,,,,
distribution_board_7_holes,,Distribution Board 7 holes,"ארון פה""פ 7 חורים",,,,
circuit_breaker_4x25a,,Circuit Breaker 4X25A,מפסק 4X25A,,,,
circuit_breaker_4x40a,,Circuit Breaker 4X40A,מפסק 4X40A,,,,
panel_cable_extensions,,Panel Cable Extensions,מאריכי כבל לפאנל,,,,
rails,,------Rails------,--- קושרות ---,,,,
trapezoidal_purlins,,------Trapezoidal Purlins------,--- טרפזים ---,,,,
diagonals,,------Diagonals------,--- דיאגונלים ---,,,,
hardware,,------Hardware------,--- אביזרי עזר ---,,,,
washer_m10,,Washer (M10),דיסקית (M10),,,,
panel_cable_clip_for_rail,,Panel Cable Clip for Rail,תפסן כבל לקושרת,,,,
sandwich_roof_accessory,,Sandwich Roof Accessory,אומגות,,,,
klazip_kit,,Klazip Kit,קיט קלזיפ,,,,
self_drilling_screw_6cm_with_seal,,Self-drilling Screw 6cm with Seal,איסכורית קודח 6סמ עם אטם,,,,
self_drilling_screw_5cm_with_seal,,Self-drilling Screw 5cm with Seal,איסכורית קודח 5סמ עם אטם,,,,
sharp_screw_3_5cm,,Sharp Screw 3.5cm,בורג שפיץ עם אטם 3.5סמ,,,,
sharp_screw_7_5cm,,Sharp Screw 7.5cm,בורג שפיץ עם אטם 12.5סמ,,,,
depreciation_waste,,Depreciation/Waste,פחת,,,,
self_drilling_screw_3_5_without_seal,,Self-drilling Screw 3.5 (without seal),בורג איסכורית 3.5 ( ללא אטם),,,,
self_drilling_screw_2_with_seal,,"Self-drilling Screw 2"" with Seal",בורג איסכורית קודח 2 צול עם אטם,,,,
flexible_conduit_30m_bundle_diameter_18mm_pg16,,Flexible Conduit 30m Bundle Diameter 18mm PG16,צינור שרשורי 30מ בחבילה קוטר 18ממ PG16,,,,
flexible_conduit_21,,Flexible Conduit 21,צינור שרשורי 21,,,,
